Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 32
Max Evaluations: 5000

Generation 114: Best Solution = [2.23534589e-11 9.72678291e-12], Best Fitness = 6.375033834160604e-11, Evaluations = 3680
Generation 115: Best Solution = [2.23534589e-11 9.72678291e-12], Best Fitness = 6.375033834160604e-11, Evaluations = 3712
Generation 116: Best Solution = [2.23534589e-11 9.72678291e-12], Best Fitness = 6.375033834160604e-11, Evaluations = 3744
Generation 117: Best Solution = [2.23534589e-11 9.72678291e-12], Best Fitness = 6.375033834160604e-11, Evaluations = 3776
Generation 118: Best Solution = [2.23534589e-11 9.72678291e-12], Best Fitness = 6.375033834160604e-11, Evaluations = 3808
Generation 119: Best Solution = [ 1.67114290e-11 -8.49757501e-12], Best Fitness = 5.302824845898613e-11, Evaluations = 3840
Generation 120: Best Solution = [-5.98845484e-12  4.51521654e-12], Best Fitness = 2.121369746532764e-11, Evaluations = 3872
Generation 121: Best Solution = [-5.98845484e-12  4.51521654e-12], Best Fitness = 2.121369746532764e-11, Evaluations = 3904
Generation 122: Best Solution = [-5.98845484e-12  4.51521654e-12], Best Fitness = 2.121369746532764e-11, Evaluations = 3936
Generation 123: Best Solution = [-5.98845484e-12  4.51521654e-12], Best Fitness = 2.121369746532764e-11, Evaluations = 3968
Generation 124: Best Solution = [-5.98845484e-12  4.51521654e-12], Best Fitness = 2.121369746532764e-11, Evaluations = 4000
Generation 125: Best Solution = [-5.07983447e-12  4.94621564e-12], Best Fitness = 2.0051960092359877e-11, Evaluations = 4032
Generation 126: Best Solution = [5.49528586e-12 6.56006257e-13], Best Fitness = 1.5653700558004857e-11, Evaluations = 4064
Generation 127: Best Solution = [5.49528586e-12 6.56006257e-13], Best Fitness = 1.5653700558004857e-11, Evaluations = 4096
Generation 128: Best Solution = [5.49528586e-12 6.56006257e-13], Best Fitness = 1.5653700558004857e-11, Evaluations = 4128
Generation 129: Best Solution = [5.49528586e-12 6.56006257e-13], Best Fitness = 1.5653700558004857e-11, Evaluations = 4160
Generation 130: Best Solution = [-2.68699798e-12  9.49254069e-13], Best Fitness = 8.061551426408187e-12, Evaluations = 4192
Generation 131: Best Solution = [1.09649767e-12 9.57705625e-13], Best Fitness = 4.118039242939631e-12, Evaluations = 4224
Generation 132: Best Solution = [-1.97170655e-13 -5.27217140e-13], Best Fitness = 1.5920598173124745e-12, Evaluations = 4256
