Algorithm: Differential Evolution
Objective Function: Rosenbrock
Dimension: 10
Population Size: 16
Max Evaluations: 10000

  0.95787964  1.24966751  1.23327372  1.79009453], Best Fitness = 136.20153981443704, Evaluations = 1088
Generation 68: Best Solution = [ 0.11726881  0.07100296  0.36091063  0.2926035  -0.1992723  -0.68851548
  0.95787964  1.24966751  1.23327372  1.79009453], Best Fitness = 136.20153981443704, Evaluations = 1104
Generation 69: Best Solution = [ 0.11726881  0.07100296  0.36091063  0.2926035  -0.1992723  -0.68851548
  0.95787964  1.24966751  1.23327372  1.79009453], Best Fitness = 136.20153981443704, Evaluations = 1120
Generation 70: Best Solution = [ 0.11726881  0.07100296  0.36091063  0.2926035  -0.1992723  -0.68851548
  0.95787964  1.24966751  1.23327372  1.79009453], Best Fitness = 136.20153981443704, Evaluations = 1136
Generation 71: Best Solution = [ 0.2793829   0.54259489  0.18726265 -0.01805366  0.21129876 -0.07453877
  0.1308545  -0.05127966 -0.95731267  1.01403987], Best Fitness = 133.9145006302679, Evaluations = 1152
Generation 72: Best Solution = [ 0.2793829   0.54259489  0.18726265 -0.01805366  0.21129876 -0.07453877
  0.1308545  -0.05127966 -0.95731267  1.01403987], Best Fitness = 133.9145006302679, Evaluations = 1168
Generation 73: Best Solution = [ 0.2793829   0.54259489  0.18726265 -0.01805366  0.21129876 -0.07453877
  0.1308545  -0.05127966 -0.95731267  1.01403987], Best Fitness = 133.9145006302679, Evaluations = 1184
Generation 74: Best Solution = [ 0.2793829   0.54259489  0.18726265 -0.01805366  0.21129876 -0.07453877
  0.1308545  -0.05127966 -0.95731267  1.01403987], Best Fitness = 133.9145006302679, Evaluations = 1200
Generation 75: Best Solution = [ 0.2793829   0.54259489  0.18726265 -0.01805366  0.21129876 -0.07453877
  0.1308545  -0.05127966 -0.95731267  1.01403987], Best Fitness = 133.9145006302679, Evaluations = 1216
Generation 76: Best Solution = [ 0.2793829   0.54259489  0.18726265 -0.01805366  0.21129876 -0.07453877
  0.1308545  -0.05127966 -0.95731267  1.01403987], Best Fitness = 133.9145006302679, Evaluations = 1232
Generation 77: Best Solution = [ 0.2793829   0.54259489  0.18726265 -0.01805366  0.21129876 -0.07453877
  0.1308545  -0.05127966 -0.95731267  1.01403987], Best Fitness = 133.9145006302679, Evaluations = 1248
Generation 78: Best Solution = [ 0.2793829   0.54259489  0.18726265 -0.01805366  0.21129876 -0.07453877
  0.1308545  -0.05127966 -0.95731267  1.01403987], Best Fitness = 133.9145006302679, Evaluations = 1264
Generation 79: Best Solution = [ 0.2793829   0.54259489  0.18726265 -0.01805366  0.21129876 -0.07453877
  0.1308545  -0.05127966 -0.95731267  1.01403987], Best Fitness = 133.9145006302679, Evaluations = 1280
Generation 80: Best Solution = [ 0.2793829   0.54259489  0.18726265 -0.01805366  0.21129876 -0.07453877
  0.1308545  -0.05127966 -0.95731267  1.01403987], Best Fitness = 133.9145006302679, Evaluations = 1296
