Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 139: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1120
Generation 140: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1128
Generation 141: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1136
Generation 142: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1144
Generation 143: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1152
Generation 144: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1160
Generation 145: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1168
Generation 146: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1176
Generation 147: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1184
Generation 148: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1192
Generation 149: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1200
Generation 150: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1208
Generation 151: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1216
Generation 152: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1224
Generation 153: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1232
Generation 154: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1240
Generation 155: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1248
Generation 156: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1256
Generation 157: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1264
Generation 158: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1272
Generation 159: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1280
Generation 160: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1288
Generation 161: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1296
Generation 162: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1304
Generation 163: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1312
