Algorithm: Differential Evolution
Objective Function: Sphere
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 97: Best Solution = [1.69258582e-09 2.10188513e-11], Best Fitness = 3.87756460712365e-19, Evaluations = 784
Generation 98: Best Solution = [1.69258582e-09 2.10188513e-11], Best Fitness = 3.87756460712365e-19, Evaluations = 792
Generation 99: Best Solution = [-4.28826127e-10  2.87173397e-11], Best Fitness = 1.8471653263676784e-19, Evaluations = 800
Generation 100: Best Solution = [-4.28826127e-10  2.87173397e-11], Best Fitness = 1.8471653263676784e-19, Evaluations = 808
Generation 101: Best Solution = [3.48986866e-10 2.10188513e-11], Best Fitness = 1.2223362505340593e-19, Evaluations = 816
Generation 102: Best Solution = [-1.68341323e-10 -3.06905866e-11], Best Fitness = 2.928071322592955e-20, Evaluations = 824
Generation 103: Best Solution = [-1.68341323e-10 -3.06905866e-11], Best Fitness = 2.928071322592955e-20, Evaluations = 832
Generation 104: Best Solution = [-1.68341323e-10 -3.06905866e-11], Best Fitness = 2.928071322592955e-20, Evaluations = 840
Generation 105: Best Solution = [-4.85911420e-11  2.26355339e-11], Best Fitness = 2.8734664725720158e-21, Evaluations = 848
Generation 106: Best Solution = [-4.85911420e-11  2.26355339e-11], Best Fitness = 2.8734664725720158e-21, Evaluations = 856
Generation 107: Best Solution = [-3.24045727e-11 -7.88363756e-12], Best Fitness = 1.1122080760352367e-21, Evaluations = 864
Generation 108: Best Solution = [ 2.31825051e-13 -1.99127029e-11], Best Fitness = 3.965694790169418e-22, Evaluations = 872
Generation 109: Best Solution = [ 2.31825051e-13 -1.99127029e-11], Best Fitness = 3.965694790169418e-22, Evaluations = 880
Generation 110: Best Solution = [ 2.31825051e-13 -1.99127029e-11], Best Fitness = 3.965694790169418e-22, Evaluations = 888
Generation 111: Best Solution = [2.31825051e-13 4.09088071e-12], Best Fitness = 1.6789047835298718e-23, Evaluations = 896
Generation 112: Best Solution = [2.31825051e-13 4.09088071e-12], Best Fitness = 1.6789047835298718e-23, Evaluations = 904
Generation 113: Best Solution = [2.31825051e-13 4.09088071e-12], Best Fitness = 1.6789047835298718e-23, Evaluations = 912
Generation 114: Best Solution = [2.31825051e-13 4.09088071e-12], Best Fitness = 1.6789047835298718e-23, Evaluations = 920
Generation 115: Best Solution = [2.31825051e-13 1.32064277e-12], Best Fitness = 1.797840189417811e-24, Evaluations = 928
Generation 116: Best Solution = [ 2.31825051e-13 -3.61187686e-14], Best Fitness = 5.504741992352964e-26, Evaluations = 936
Generation 117: Best Solution = [ 2.31825051e-13 -3.61187686e-14], Best Fitness = 5.504741992352964e-26, Evaluations = 944
Generation 118: Best Solution = [ 2.31825051e-13 -3.61187686e-14], Best Fitness = 5.504741992352964e-26, Evaluations = 952
Generation 119: Best Solution = [ 2.31825051e-13 -3.61187686e-14], Best Fitness = 5.504741992352964e-26, Evaluations = 960
Generation 120: Best Solution = [ 2.31825051e-13 -3.61187686e-14], Best Fitness = 5.504741992352964e-26, Evaluations = 968
Generation 121: Best Solution = [ 2.31825051e-13 -3.61187686e-14], Best Fitness = 5.504741992352964e-26, Evaluations = 976
Generation 122: Best Solution = [ 2.31825051e-13 -3.61187686e-14], Best Fitness = 5.504741992352964e-26, Evaluations = 984
Generation 123: Best Solution = [ 2.31825051e-13 -3.61187686e-14], Best Fitness = 5.504741992352964e-26, Evaluations = 992
Generation 124: Best Solution = [ 2.31825051e-13 -3.61187686e-14], Best Fitness = 5.504741992352964e-26, Evaluations = 1000
Generation 125: Best Solution = [ 2.31825051e-13 -3.61187686e-14], Best Fitness = 5.504741992352964e-26, Evaluations = 1008
Generation 126: Best Solution = [ 2.31825051e-13 -3.61187686e-14], Best Fitness = 5.504741992352964e-26, Evaluations = 1016
Generation 127: Best Solution = [ 2.31825051e-13 -3.61187686e-14], Best Fitness = 5.504741992352964e-26, Evaluations = 1024
Generation 128: Best Solution = [ 2.31825051e-13 -3.61187686e-14], Best Fitness = 5.504741992352964e-26, Evaluations = 1032
Generation 129: Best Solution = [ 2.31825051e-13 -2.02936025e-14], Best Fitness = 5.415468478250094e-26, Evaluations = 1040
Generation 130: Best Solution = [-1.45174159e-13  3.60405247e-14], Best Fitness = 2.2374455897742092e-26, Evaluations = 1048
