Algorithm: Differential Evolution
Objective Function: Rastrigin
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 100: Best Solution = [-1.28398987e-08 -7.57292460e-10], Best Fitness = 3.197442310920451e-14, Evaluations = 1616
Generation 101: Best Solution = [-1.28398987e-08 -7.57292460e-10], Best Fitness = 3.197442310920451e-14, Evaluations = 1632
Generation 102: Best Solution = [-1.28398987e-08 -7.57292460e-10], Best Fitness = 3.197442310920451e-14, Evaluations = 1648
Generation 103: Best Solution = [-7.14190176e-09  4.84176513e-09], Best Fitness = 1.4210854715202004e-14, Evaluations = 1664
Generation 104: Best Solution = [ 3.10538370e-09 -4.60839814e-09], Best Fitness = 7.105427357601002e-15, Evaluations = 1680
Generation 105: Best Solution = [-3.52923405e-09  3.59450532e-09], Best Fitness = 3.552713678800501e-15, Evaluations = 1696
Generation 106: Best Solution = [-3.52923405e-09  3.59450532e-09], Best Fitness = 3.552713678800501e-15, Evaluations = 1712
Generation 107: Best Solution = [-3.52923405e-09  3.59450532e-09], Best Fitness = 3.552713678800501e-15, Evaluations = 1728
Generation 108: Best Solution = [-3.52923405e-09  3.59450532e-09], Best Fitness = 3.552713678800501e-15, Evaluations = 1744
Generation 109: Best Solution = [3.02758446e-10 7.01654238e-10], Best Fitness = 0.0, Evaluations = 1760
Generation 110: Best Solution = [3.02758446e-10 7.01654238e-10], Best Fitness = 0.0, Evaluations = 1776
Generation 111: Best Solution = [3.02758446e-10 7.01654238e-10], Best Fitness = 0.0, Evaluations = 1792
Generation 112: Best Solution = [3.02758446e-10 7.01654238e-10], Best Fitness = 0.0, Evaluations = 1808
Generation 113: Best Solution = [3.02758446e-10 7.01654238e-10], Best Fitness = 0.0, Evaluations = 1824
Generation 114: Best Solution = [3.02758446e-10 7.01654238e-10], Best Fitness = 0.0, Evaluations = 1840
Generation 115: Best Solution = [3.02758446e-10 7.01654238e-10], Best Fitness = 0.0, Evaluations = 1856
Generation 116: Best Solution = [3.02758446e-10 7.01654238e-10], Best Fitness = 0.0, Evaluations = 1872
Generation 117: Best Solution = [3.02758446e-10 7.01654238e-10], Best Fitness = 0.0, Evaluations = 1888
Generation 118: Best Solution = [3.02758446e-10 7.01654238e-10], Best Fitness = 0.0, Evaluations = 1904
Generation 119: Best Solution = [3.02758446e-10 7.01654238e-10], Best Fitness = 0.0, Evaluations = 1920
Generation 120: Best Solution = [3.02758446e-10 7.01654238e-10], Best Fitness = 0.0, Evaluations = 1936
Generation 121: Best Solution = [3.02758446e-10 7.01654238e-10], Best Fitness = 0.0, Evaluations = 1952
Generation 122: Best Solution = [3.02758446e-10 7.01654238e-10], Best Fitness = 0.0, Evaluations = 1968
Generation 123: Best Solution = [3.02758446e-10 7.01654238e-10], Best Fitness = 0.0, Evaluations = 1984
Generation 124: Best Solution = [3.02758446e-10 7.01654238e-10], Best Fitness = 0.0, Evaluations = 2000
