Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 205: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1648
Generation 206: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1656
Generation 207: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1664
Generation 208: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1672
Generation 209: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1680
Generation 210: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1688
Generation 211: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1696
Generation 212: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1704
Generation 213: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1712
Generation 214: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1720
Generation 215: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1728
Generation 216: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1736
Generation 217: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1744
Generation 218: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1752
Generation 219: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1760
Generation 220: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1768
Generation 221: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1776
Generation 222: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1784
Generation 223: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1792
Generation 224: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1800
Generation 225: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1808
Generation 226: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1816
Generation 227: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1824
