Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 100: Best Solution = [ 4.23257951e-05 -5.24909686e-05], Best Fitness = 1.5856985724482797e-09, Evaluations = 1616
Generation 101: Best Solution = [ 4.23257951e-05 -5.24909686e-05], Best Fitness = 1.5856985724482797e-09, Evaluations = 1632
Generation 102: Best Solution = [ 4.23257951e-05 -5.24909686e-05], Best Fitness = 1.5856985724482797e-09, Evaluations = 1648
Generation 103: Best Solution = [ 4.23257951e-05 -5.24909686e-05], Best Fitness = 1.5856985724482797e-09, Evaluations = 1664
Generation 104: Best Solution = [ 4.23257951e-05 -5.24909686e-05], Best Fitness = 1.5856985724482797e-09, Evaluations = 1680
Generation 105: Best Solution = [-3.85954132e-05  1.86227081e-05], Best Fitness = 8.319633870712551e-10, Evaluations = 1696
Generation 106: Best Solution = [-2.71417710e-05 -2.26441133e-05], Best Fitness = 4.968392364190777e-10, Evaluations = 1712
Generation 107: Best Solution = [-2.71417710e-05 -2.26441133e-05], Best Fitness = 4.968392364190777e-10, Evaluations = 1728
Generation 108: Best Solution = [-3.89840769e-06  1.58087747e-05], Best Fitness = 7.01444458073297e-11, Evaluations = 1744
Generation 109: Best Solution = [-3.89840769e-06  1.58087747e-05], Best Fitness = 7.01444458073297e-11, Evaluations = 1760
Generation 110: Best Solution = [-9.80614812e-06 -7.32071970e-06], Best Fitness = 6.151601450454791e-11, Evaluations = 1776
Generation 111: Best Solution = [-9.80614812e-06 -7.32071970e-06], Best Fitness = 3.737765652545022e-11, Evaluations = 1792
Generation 112: Best Solution = [-9.80614812e-06 -7.32071970e-06], Best Fitness = 3.737765652545022e-11, Evaluations = 1808
Generation 113: Best Solution = [1.24224385e-06 1.03330603e-05], Best Fitness = 2.7491675602675514e-11, Evaluations = 1824
Generation 114: Best Solution = [1.24224385e-06 1.03330603e-05], Best Fitness = 2.7491675602675514e-11, Evaluations = 1840
Generation 115: Best Solution = [-8.46085582e-07  2.15245974e-06], Best Fitness = 1.5175638523601265e-12, Evaluations = 1856
Generation 116: Best Solution = [-8.46085582e-07  2.15245974e-06], Best Fitness = 1.5175638523601265e-12, Evaluations = 1872
Generation 117: Best Solution = [6.24931732e-07 9.10989890e-07], Best Fitness = 4.0312198024139434e-13, Evaluations = 1888
Generation 118: Best Solution = [6.24931732e-07 9.10989890e-07], Best Fitness = 4.0312198024139434e-13, Evaluations = 1904
Generation 119: Best Solution = [6.24931732e-07 9.10989890e-07], Best Fitness = 4.0312198024139434e-13, Evaluations = 1920
Generation 120: Best Solution = [6.24931732e-07 9.10989890e-07], Best Fitness = 4.0312198024139434e-13, Evaluations = 1936
Generation 121: Best Solution = [6.24931732e-07 9.10989890e-07], Best Fitness = 4.0312198024139434e-13, Evaluations = 1952
Generation 122: Best Solution = [6.24931732e-07 9.10989890e-07], Best Fitness = 4.0312198024139434e-13, Evaluations = 1968
Generation 123: Best Solution = [-9.54185608e-08  5.90761074e-07], Best Fitness = 9.192646643896296e-14, Evaluations = 1984
Generation 124: Best Solution = [-9.54185608e-08  5.90761074e-07], Best Fitness = 9.192646643896296e-14, Evaluations = 2000
