Algorithm: Differential Evolution
Objective Function: Rosenbrock
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 229: Best Solution = [1.0503224  1.10354863], Best Fitness = 0.0025461441990858747, Evaluations = 1840
Generation 230: Best Solution = [1.04986127 1.1022148 ], Best Fitness = 0.0024861494975213423, Evaluations = 1848
Generation 231: Best Solution = [1.04986127 1.1022148 ], Best Fitness = 0.0024861494975213423, Evaluations = 1856
Generation 232: Best Solution = [1.04986127 1.1022148 ], Best Fitness = 0.0024861494975213423, Evaluations = 1864
Generation 233: Best Solution = [1.04624483 1.0945426 ], Best Fitness = 0.00213931735193221, Evaluations = 1872
Generation 234: Best Solution = [1.04624483 1.0945426 ], Best Fitness = 0.00213931735193221, Evaluations = 1880
Generation 235: Best Solution = [1.04624483 1.0945426 ], Best Fitness = 0.00213931735193221, Evaluations = 1888
Generation 236: Best Solution = [1.04103302 1.08331326], Best Fitness = 0.0017027620961434944, Evaluations = 1896
Generation 237: Best Solution = [1.04103302 1.08331326], Best Fitness = 0.0017027620961434944, Evaluations = 1904
Generation 238: Best Solution = [1.04103302 1.08331326], Best Fitness = 0.0017027620961434944, Evaluations = 1912
Generation 239: Best Solution = [1.03656831 1.07331076], Best Fitness = 0.0014725192075782218, Evaluations = 1920
Generation 240: Best Solution = [1.03656831 1.07331076], Best Fitness = 0.0014725192075782218, Evaluations = 1928
Generation 241: Best Solution = [1.03387223 1.06739186], Best Fitness = 0.001372308894866574, Evaluations = 1936
Generation 242: Best Solution = [1.03387223 1.06739186], Best Fitness = 0.001372308894866574, Evaluations = 1944
Generation 243: Best Solution = [1.02609741 1.05032882], Best Fitness = 0.0013298325649061375, Evaluations = 1952
Generation 244: Best Solution = [1.03519835 1.07089531], Best Fitness = 0.0012937309081893261, Evaluations = 1960
Generation 245: Best Solution = [1.03519835 1.07089531], Best Fitness = 0.0012937309081893261, Evaluations = 1968
Generation 246: Best Solution = [1.03401437 1.06813946], Best Fitness = 0.0012664426906411187, Evaluations = 1976
Generation 247: Best Solution = [1.03401437 1.06813946], Best Fitness = 0.0012664426906411187, Evaluations = 1984
Generation 248: Best Solution = [1.03199112 1.06345493], Best Fitness = 0.0012639101164466746, Evaluations = 1992
Generation 249: Best Solution = [1.03199112 1.0650574 ], Best Fitness = 0.0010236993191153607, Evaluations = 2000
