Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 108: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.010477917369003054, Evaluations = 872
Generation 109: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.010477917369003054, Evaluations = 880
Generation 110: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.010477917369003054, Evaluations = 888
Generation 111: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.010477917369003054, Evaluations = 896
Generation 112: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.010477917369003054, Evaluations = 904
Generation 113: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.010477917369003054, Evaluations = 912
Generation 114: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.010477917369003054, Evaluations = 920
Generation 115: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.010477917369003054, Evaluations = 928
Generation 116: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.010477917369003054, Evaluations = 936
Generation 117: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.010477917369003054, Evaluations = 944
Generation 118: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.010477917369003054, Evaluations = 952
Generation 119: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.010477917369003054, Evaluations = 960
Generation 120: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.010477917369003054, Evaluations = 968
Generation 121: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.010477917369003054, Evaluations = 976
Generation 122: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.010477917369003054, Evaluations = 984
Generation 123: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.010477917369003054, Evaluations = 992
Generation 124: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.010477917369003054, Evaluations = 1000
Generation 125: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.010477917369003054, Evaluations = 1008
Generation 126: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.010477917369003054, Evaluations = 1016
Generation 127: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.010477917369003054, Evaluations = 1024
Generation 128: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.010477917369003054, Evaluations = 1032
Generation 129: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.010477917369003054, Evaluations = 1040
Generation 130: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.010477917369003054, Evaluations = 1048
Generation 131: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.010477917369003054, Evaluations = 1056
Generation 132: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.010477917369003054, Evaluations = 1064
Generation 133: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.010477917369003054, Evaluations = 1072
Generation 134: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.010477917369003054, Evaluations = 1080
Generation 135: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.010477917369003054, Evaluations = 1088
Generation 136: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.010477917369003054, Evaluations = 1096
Generation 137: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.010477917369003054, Evaluations = 1104
Generation 138: Best Solution = [3.13052173 4.3971472 ], Best Fitness = 0.007867911353046986, Evaluations = 1112
Generation 139: Best Solution = [3.13052173 4.3971472 ], Best Fitness = 0.007867911353046986, Evaluations = 1120
Generation 140: Best Solution = [3.13052173 4.3971472 ], Best Fitness = 0.007867911353046986, Evaluations = 1128
Generation 141: Best Solution = [3.13052173 4.3971472 ], Best Fitness = 0.007867911353046986, Evaluations = 1136
Generation 142: Best Solution = [3.13052173 4.3971472 ], Best Fitness = 0.007867911353046986, Evaluations = 1144
Generation 143: Best Solution = [3.13052173 4.3971472 ], Best Fitness = 0.007867911353046986, Evaluations = 1152
Generation 144: Best Solution = [3.13052173 4.3971472 ], Best Fitness = 0.007867911353046986, Evaluations = 1160
