Algorithm: Differential Evolution
Objective Function: Rosenbrock
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 142: Best Solution = [1.00069503 1.00135523], Best Fitness = 6.077078737847106e-07, Evaluations = 1144
Generation 143: Best Solution = [1.00069503 1.00135523], Best Fitness = 6.077078737847106e-07, Evaluations = 1152
Generation 144: Best Solution = [1.00069503 1.00135523], Best Fitness = 6.077078737847106e-07, Evaluations = 1160
Generation 145: Best Solution = [1.00033373 1.00065638], Best Fitness = 1.239191012662975e-07, Evaluations = 1168
Generation 146: Best Solution = [1.00033373 1.00065638], Best Fitness = 1.239191012662975e-07, Evaluations = 1176
Generation 147: Best Solution = [1.00033373 1.00065638], Best Fitness = 1.239191012662975e-07, Evaluations = 1184
Generation 148: Best Solution = [1.00033373 1.00065638], Best Fitness = 1.239191012662975e-07, Evaluations = 1192
Generation 149: Best Solution = [1.00033373 1.00065638], Best Fitness = 1.239191012662975e-07, Evaluations = 1200
Generation 150: Best Solution = [1.00010746 1.00024575], Best Fitness = 1.0651557437116296e-07, Evaluations = 1208
Generation 151: Best Solution = [1.00010746 1.00024575], Best Fitness = 1.0651557437116296e-07, Evaluations = 1216
Generation 152: Best Solution = [1.00010746 1.00024575], Best Fitness = 1.0651557437116296e-07, Evaluations = 1224
Generation 153: Best Solution = [1.00010746 1.00024575], Best Fitness = 1.0651557437116296e-07, Evaluations = 1232
Generation 154: Best Solution = [1.00010746 1.00024575], Best Fitness = 1.0651557437116296e-07, Evaluations = 1240
Generation 155: Best Solution = [1.00010746 1.00024575], Best Fitness = 1.0651557437116296e-07, Evaluations = 1248
Generation 156: Best Solution = [1.00010746 1.00024575], Best Fitness = 1.0651557437116296e-07, Evaluations = 1256
Generation 157: Best Solution = [1.00010746 1.00024575], Best Fitness = 1.0651557437116296e-07, Evaluations = 1264
Generation 158: Best Solution = [1.00010746 1.00024575], Best Fitness = 1.0651557437116296e-07, Evaluations = 1272
Generation 159: Best Solution = [1.00010746 1.00024575], Best Fitness = 1.0651557437116296e-07, Evaluations = 1280
Generation 160: Best Solution = [1.00010746 1.00024575], Best Fitness = 1.0651557437116296e-07, Evaluations = 1288
Generation 161: Best Solution = [1.00004631 1.00011915], Best Fitness = 7.254020601314852e-08, Evaluations = 1296
Generation 162: Best Solution = [1.00014546 1.00028242], Best Fitness = 2.841282851823146e-08, Evaluations = 1304
Generation 163: Best Solution = [1.00014546 1.00028242], Best Fitness = 2.841282851823146e-08, Evaluations = 1312
Generation 164: Best Solution = [1.00004631 1.00010057], Best Fitness = 8.461542102249453e-09, Evaluations = 1320
Generation 165: Best Solution = [1.00004631 1.00010057], Best Fitness = 8.461542102249453e-09, Evaluations = 1328
Generation 166: Best Solution = [1.00004631 1.00010057], Best Fitness = 8.461542102249453e-09, Evaluations = 1336
Generation 167: Best Solution = [1.00004631 1.00010057], Best Fitness = 8.461542102249453e-09, Evaluations = 1344
Generation 168: Best Solution = [1.00004631 1.00010057], Best Fitness = 8.461542102249453e-09, Evaluations = 1352
Generation 169: Best Solution = [1.00004631 1.00010057], Best Fitness = 8.461542102249453e-09, Evaluations = 1360
Generation 170: Best Solution = [1.00004631 1.00010057], Best Fitness = 8.461542102249453e-09, Evaluations = 1368
Generation 171: Best Solution = [1.00004631 1.00010057], Best Fitness = 8.461542102249453e-09, Evaluations = 1376
Generation 172: Best Solution = [1.00004631 1.00010057], Best Fitness = 8.461542102249453e-09, Evaluations = 1384
Generation 173: Best Solution = [1.00004631 1.00010057], Best Fitness = 8.461542102249453e-09, Evaluations = 1392
Generation 174: Best Solution = [1.00004631 1.00010057], Best Fitness = 8.461542102249453e-09, Evaluations = 1400
