Algorithm: Differential Evolution
Objective Function: Sphere
Dimension: 2
Population Size: 32
Max Evaluations: 5000

Generation 123: Best Solution = [-4.75036438e-13 -7.31115394e-14], Best Fitness = 4.234120544243126e-26, Evaluations = 3968
Generation 124: Best Solution = [-4.75036438e-13 -7.31115394e-14], Best Fitness = 4.234120544243126e-26, Evaluations = 4000
Generation 125: Best Solution = [-4.75036438e-13 -7.31115394e-14], Best Fitness = 4.234120544243126e-26, Evaluations = 4032
Generation 126: Best Solution = [6.12955227e-15 1.72113418e-13], Best Fitness = 2.9660600095797825e-26, Evaluations = 4064
Generation 127: Best Solution = [-1.17114593e-13  1.08216496e-13], Best Fitness = 2.5426637858138202e-26, Evaluations = 4096
Generation 128: Best Solution = [ 8.50117553e-14 -4.78092547e-14], Best Fitness = 9.512723373534939e-27, Evaluations = 4128
Generation 129: Best Solution = [ 8.50117553e-14 -4.78092547e-14], Best Fitness = 9.512723373534939e-27, Evaluations = 4160
Generation 130: Best Solution = [ 8.50117553e-14 -4.78092547e-14], Best Fitness = 9.512723373534939e-27, Evaluations = 4192
Generation 131: Best Solution = [-8.93168458e-14 -9.31673735e-15], Best Fitness = 8.064300535053864e-27, Evaluations = 4224
Generation 132: Best Solution = [ 6.12955227e-15 -3.33631239e-16], Best Fitness = 3.7682720806228534e-29, Evaluations = 4256
Generation 133: Best Solution = [ 6.12955227e-15 -3.33631239e-16], Best Fitness = 3.7682720806228534e-29, Evaluations = 4288
Generation 134: Best Solution = [ 6.12955227e-15 -3.33631239e-16], Best Fitness = 3.7682720806228534e-29, Evaluations = 4320
Generation 135: Best Solution = [ 6.12955227e-15 -3.33631239e-16], Best Fitness = 3.7682720806228534e-29, Evaluations = 4352
Generation 136: Best Solution = [ 6.12955227e-15 -3.33631239e-16], Best Fitness = 3.7682720806228534e-29, Evaluations = 4384
Generation 137: Best Solution = [ 6.12955227e-15 -3.33631239e-16], Best Fitness = 3.7682720806228534e-29, Evaluations = 4416
Generation 138: Best Solution = [ 6.12955227e-15 -3.33631239e-16], Best Fitness = 3.7682720806228534e-29, Evaluations = 4448
Generation 139: Best Solution = [-3.76885944e-15  3.97215155e-15], Best Fitness = 2.9982289485629225e-29, Evaluations = 4480
Generation 140: Best Solution = [3.00869208e-15 3.86393211e-15], Best Fitness = 2.3982199366316137e-29, Evaluations = 4512
Generation 141: Best Solution = [3.00869208e-15 3.86393211e-15], Best Fitness = 2.3982199366316137e-29, Evaluations = 4544
Generation 142: Best Solution = [1.21924617e-15 7.80091240e-16], Best Fitness = 2.0951035697645503e-30, Evaluations = 4576
Generation 143: Best Solution = [1.21924617e-15 7.80091240e-16], Best Fitness = 2.0951035697645503e-30, Evaluations = 4608
Generation 144: Best Solution = [1.21924617e-15 7.80091240e-16], Best Fitness = 2.0951035697645503e-30, Evaluations = 4640
Generation 145: Best Solution = [1.21924617e-15 7.80091240e-16], Best Fitness = 2.0951035697645503e-30, Evaluations = 4672
Generation 146: Best Solution = [1.21924617e-15 7.80091240e-16], Best Fitness = 2.0951035697645503e-30, Evaluations = 4704
Generation 147: Best Solution = [1.21924617e-15 7.80091240e-16], Best Fitness = 2.0951035697645503e-30, Evaluations = 4736
Generation 148: Best Solution = [ 1.24321946e-15 -3.33631239e-16], Best Fitness = 1.656904423254234e-30, Evaluations = 4768
Generation 149: Best Solution = [ 1.24321946e-15 -3.33631239e-16], Best Fitness = 1.656904423254234e-30, Evaluations = 4800
Generation 150: Best Solution = [ 2.74063993e-16 -6.35702531e-16], Best Fitness = 4.792287808318313e-31, Evaluations = 4832
Generation 151: Best Solution = [ 2.74063993e-16 -6.35702531e-16], Best Fitness = 4.792287808318313e-31, Evaluations = 4864
Generation 152: Best Solution = [ 3.70243907e-16 -2.42409507e-16], Best Fitness = 1.9584291938736717e-31, Evaluations = 4896
Generation 153: Best Solution = [ 3.70243907e-16 -2.42409507e-16], Best Fitness = 1.9584291938736717e-31, Evaluations = 4928
Generation 154: Best Solution = [ 3.70243907e-16 -2.42409507e-16], Best Fitness = 1.3709207956711038e-31, Evaluations = 4960
Generation 155: Best Solution = [-2.97569836e-16 -1.18582497e-16], Best Fitness = 1.0260961576239136e-31, Evaluations = 4992
Generation 156: Best Solution = [ 2.80737716e-16 -9.85476327e-17], Best Fitness = 8.852530105376909e-32, Evaluations = 5024
