Algorithm: Differential Evolution
Objective Function: Rosenbrock
Dimension: 2
Population Size: 32
Max Evaluations: 5000

Generation 132: Best Solution = [0.99249169 0.98501801], Best Fitness = 5.642199316089829e-05, Evaluations = 4256
Generation 133: Best Solution = [0.99249169 0.98501801], Best Fitness = 5.642199316089829e-05, Evaluations = 4288
Generation 134: Best Solution = [0.99249169 0.98501801], Best Fitness = 5.642199316089829e-05, Evaluations = 4320
Generation 135: Best Solution = [0.99249169 0.98501801], Best Fitness = 5.642199316089829e-05, Evaluations = 4352
Generation 136: Best Solution = [0.99249169 0.98501801], Best Fitness = 5.642199316089829e-05, Evaluations = 4384
Generation 137: Best Solution = [0.99249169 0.98501801], Best Fitness = 5.642199316089829e-05, Evaluations = 4416
Generation 138: Best Solution = [0.99249169 0.98501801], Best Fitness = 5.642199316089829e-05, Evaluations = 4448
Generation 139: Best Solution = [0.99249169 0.98501801], Best Fitness = 5.642199316089829e-05, Evaluations = 4480
Generation 140: Best Solution = [0.99249169 0.98501801], Best Fitness = 5.642199316089829e-05, Evaluations = 4512
Generation 141: Best Solution = [0.99249169 0.98501801], Best Fitness = 5.642199316089829e-05, Evaluations = 4544
Generation 142: Best Solution = [0.99312274 0.9862267 ], Best Fitness = 4.773328169308545e-05, Evaluations = 4576
Generation 143: Best Solution = [0.99312274 0.9862267 ], Best Fitness = 4.773328169308545e-05, Evaluations = 4608
Generation 144: Best Solution = [0.99312274 0.9862267 ], Best Fitness = 4.773328169308545e-05, Evaluations = 4640
Generation 145: Best Solution = [0.99312274 0.9862267 ], Best Fitness = 4.773328169308545e-05, Evaluations = 4672
Generation 146: Best Solution = [0.99312274 0.9862267 ], Best Fitness = 4.773328169308545e-05, Evaluations = 4704
Generation 147: Best Solution = [0.99312274 0.9862267 ], Best Fitness = 4.773328169308545e-05, Evaluations = 4736
Generation 148: Best Solution = [0.99312274 0.9862267 ], Best Fitness = 4.773328169308545e-05, Evaluations = 4768
Generation 149: Best Solution = [0.99312274 0.9862267 ], Best Fitness = 4.773328169308545e-05, Evaluations = 4800
Generation 150: Best Solution = [0.99312274 0.9862267 ], Best Fitness = 4.773328169308545e-05, Evaluations = 4832
Generation 151: Best Solution = [0.99312274 0.9862267 ], Best Fitness = 4.773328169308545e-05, Evaluations = 4864
Generation 152: Best Solution = [0.99312274 0.9862267 ], Best Fitness = 4.773328169308545e-05, Evaluations = 4896
Generation 153: Best Solution = [0.99312274 0.9862267 ], Best Fitness = 4.773328169308545e-05, Evaluations = 4928
Generation 154: Best Solution = [0.99312274 0.9862267 ], Best Fitness = 4.773328169308545e-05, Evaluations = 4960
Generation 155: Best Solution = [0.99312274 0.9862267 ], Best Fitness = 4.773328169308545e-05, Evaluations = 4992
Generation 156: Best Solution = [0.99312274 0.9862267 ], Best Fitness = 4.773328169308545e-05, Evaluations = 5024
