Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 111: Best Solution = [-2.70408364e-10 -4.24640178e-11], Best Fitness = 7.742042562597362e-10, Evaluations = 896
Generation 112: Best Solution = [ 5.11703593e-11 -1.16255522e-10], Best Fitness = 3.592650621442317e-10, Evaluations = 904
Generation 113: Best Solution = [-4.95209868e-11 -7.04202239e-11], Best Fitness = 2.434963342068386e-10, Evaluations = 912
Generation 114: Best Solution = [-4.95209868e-11 -7.04202239e-11], Best Fitness = 2.434963342068386e-10, Evaluations = 920
Generation 115: Best Solution = [-4.95209868e-11  5.15115716e-14], Best Fitness = 1.400661808759196e-10, Evaluations = 928
Generation 116: Best Solution = [-4.95209868e-11  5.15115716e-14], Best Fitness = 1.400661808759196e-10, Evaluations = 936
Generation 117: Best Solution = [-1.09400077e-11 -2.37628482e-11], Best Fitness = 7.399281187758788e-11, Evaluations = 944
Generation 118: Best Solution = [-1.09400077e-11 -2.37628482e-11], Best Fitness = 7.399281187758788e-11, Evaluations = 952
Generation 119: Best Solution = [-1.45424551e-12 -1.30393071e-11], Best Fitness = 3.711209117795988e-11, Evaluations = 960
Generation 120: Best Solution = [-1.45424551e-12 -1.30393071e-11], Best Fitness = 3.711209117795988e-11, Evaluations = 968
Generation 121: Best Solution = [-1.45424551e-12 -1.30393071e-11], Best Fitness = 3.711209117795988e-11, Evaluations = 976
Generation 122: Best Solution = [-1.09400077e-11 -5.24040044e-12], Best Fitness = 3.431255279906509e-11, Evaluations = 984
Generation 123: Best Solution = [-4.10314222e-12  5.15115716e-14], Best Fitness = 1.1607159677851087e-11, Evaluations = 992
Generation 124: Best Solution = [-4.10314222e-12  5.15115716e-14], Best Fitness = 1.1607159677851087e-11, Evaluations = 1000
Generation 125: Best Solution = [-1.45424551e-12  1.02721915e-12], Best Fitness = 5.03819208574896e-12, Evaluations = 1008
Generation 126: Best Solution = [-1.45424551e-12  1.02721915e-12], Best Fitness = 5.03819208574896e-12, Evaluations = 1016
Generation 127: Best Solution = [-1.45424551e-12  1.02721915e-12], Best Fitness = 5.03819208574896e-12, Evaluations = 1024
Generation 128: Best Solution = [-1.45424551e-12  1.02721915e-12], Best Fitness = 5.03819208574896e-12, Evaluations = 1032
Generation 129: Best Solution = [-1.45424551e-12  1.02721915e-12], Best Fitness = 5.03819208574896e-12, Evaluations = 1040
Generation 130: Best Solution = [-3.99363429e-13 -1.62049413e-12], Best Fitness = 4.722000568335716e-12, Evaluations = 1048
Generation 131: Best Solution = [-5.87679387e-13  5.80118478e-13], Best Fitness = 2.3381296898605797e-12, Evaluations = 1056
Generation 132: Best Solution = [-5.87679387e-13  5.80118478e-13], Best Fitness = 1.6560086635308835e-12, Evaluations = 1064
Generation 133: Best Solution = [-5.87679387e-13  5.80118478e-13], Best Fitness = 1.6560086635308835e-12, Evaluations = 1072
Generation 134: Best Solution = [-5.87679387e-13  5.80118478e-13], Best Fitness = 1.6560086635308835e-12, Evaluations = 1080
Generation 135: Best Solution = [-5.87679387e-13  5.80118478e-13], Best Fitness = 1.6560086635308835e-12, Evaluations = 1088
Generation 136: Best Solution = [-2.50495363e-13  3.72207067e-13], Best Fitness = 1.2687628725416289e-12, Evaluations = 1096
Generation 137: Best Solution = [ 1.99069188e-13 -1.73809923e-13], Best Fitness = 7.500666754367558e-13, Evaluations = 1104
Generation 138: Best Solution = [ 1.99069188e-13 -1.73809923e-13], Best Fitness = 7.500666754367558e-13, Evaluations = 1112
Generation 139: Best Solution = [ 1.99069188e-13 -1.73809923e-13], Best Fitness = 7.500666754367558e-13, Evaluations = 1120
Generation 140: Best Solution = [-5.89586330e-15  1.29186551e-13], Best Fitness = 3.6637359812630166e-13, Evaluations = 1128
Generation 141: Best Solution = [-5.89586330e-15  1.29186551e-13], Best Fitness = 3.6637359812630166e-13, Evaluations = 1136
Generation 142: Best Solution = [-2.58005052e-14  1.08713397e-13], Best Fitness = 3.1663560662309465e-13, Evaluations = 1144
Generation 143: Best Solution = [-5.89586330e-15  1.09384943e-13], Best Fitness = 3.1308289294429414e-13, Evaluations = 1152
Generation 144: Best Solution = [-5.89586330e-15  1.09384943e-13], Best Fitness = 3.1308289294429414e-13, Evaluations = 1160
Generation 145: Best Solution = [-5.89586330e-15  1.09384943e-13], Best Fitness = 3.1308289294429414e-13, Evaluations = 1168
Generation 146: Best Solution = [2.29396575e-14 1.05956643e-13], Best Fitness = 3.0597746558669314e-13, Evaluations = 1176
Generation 147: Best Solution = [1.87596827e-14 9.55238177e-14], Best Fitness = 2.7755575615628914e-13, Evaluations = 1184
Generation 148: Best Solution = [1.87596827e-14 9.55238177e-14], Best Fitness = 2.7755575615628914e-13, Evaluations = 1192
Generation 149: Best Solution = [1.87596827e-14 9.55238177e-14], Best Fitness = 2.7755575615628914e-13, Evaluations = 1200
Generation 150: Best Solution = [1.87596827e-14 9.55238177e-14], Best Fitness = 2.7045032879868813e-13, Evaluations = 1208
Generation 151: Best Solution = [-1.35063994e-14  8.62911119e-14], Best Fitness = 2.4558133304708463e-13, Evaluations = 1216
Generation 152: Best Solution = [2.92199405e-14 7.73417222e-14], Best Fitness = 2.349231920106831e-13, Evaluations = 1224
Generation 153: Best Solution = [2.92199405e-14 7.73417222e-14], Best Fitness = 2.2071233729548112e-13, Evaluations = 1232
Generation 154: Best Solution = [1.31107715e-14 7.10771494e-14], Best Fitness = 2.0650148258027912e-13, Evaluations = 1240
Generation 155: Best Solution = [1.31107715e-14 6.66498998e-14], Best Fitness = 1.9229062786507711e-13, Evaluations = 1248
Generation 156: Best Solution = [1.31107715e-14 6.66498998e-14], Best Fitness = 1.9229062786507711e-13, Evaluations = 1256
