Algorithm: Differential Evolution
Objective Function: Rosenbrock
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 102: Best Solution = [1.03426351 1.07206873], Best Fitness = 0.0017346049701745525, Evaluations = 1648
Generation 103: Best Solution = [1.03426351 1.07206873], Best Fitness = 0.0017346049701745525, Evaluations = 1664
Generation 104: Best Solution = [1.03426351 1.07206873], Best Fitness = 0.0017346049701745525, Evaluations = 1680
Generation 105: Best Solution = [1.03426351 1.07206873], Best Fitness = 0.0017346049701745525, Evaluations = 1696
Generation 106: Best Solution = [1.03426351 1.07206873], Best Fitness = 0.0017346049701745525, Evaluations = 1712
Generation 107: Best Solution = [1.03426351 1.07206873], Best Fitness = 0.0017346049701745525, Evaluations = 1728
Generation 108: Best Solution = [1.03426351 1.07206873], Best Fitness = 0.0017346049701745525, Evaluations = 1744
Generation 109: Best Solution = [1.03426351 1.07206873], Best Fitness = 0.0017346049701745525, Evaluations = 1760
Generation 110: Best Solution = [1.03426351 1.07206873], Best Fitness = 0.0017346049701745525, Evaluations = 1776
Generation 111: Best Solution = [1.02767245 1.05600647], Best Fitness = 0.0007668499285471085, Evaluations = 1792
Generation 112: Best Solution = [1.02767245 1.05600647], Best Fitness = 0.0007668499285471085, Evaluations = 1808
Generation 113: Best Solution = [0.99157888 0.98472821], Best Fitness = 0.0002957784576374552, Evaluations = 1824
Generation 114: Best Solution = [0.99157888 0.98472821], Best Fitness = 0.0002957784576374552, Evaluations = 1840
Generation 115: Best Solution = [0.99157888 0.98472821], Best Fitness = 0.0002957784576374552, Evaluations = 1856
Generation 116: Best Solution = [0.99157888 0.98472821], Best Fitness = 0.0002957784576374552, Evaluations = 1872
Generation 117: Best Solution = [0.99157888 0.98472821], Best Fitness = 0.0002957784576374552, Evaluations = 1888
Generation 118: Best Solution = [0.99157888 0.98472821], Best Fitness = 0.0002957784576374552, Evaluations = 1904
Generation 119: Best Solution = [0.99157888 0.98472821], Best Fitness = 0.0002957784576374552, Evaluations = 1920
Generation 120: Best Solution = [0.99157888 0.98472821], Best Fitness = 0.0002957784576374552, Evaluations = 1936
Generation 121: Best Solution = [0.99157888 0.98472821], Best Fitness = 0.0002957784576374552, Evaluations = 1952
Generation 122: Best Solution = [0.99157888 0.98472821], Best Fitness = 0.0002957784576374552, Evaluations = 1968
Generation 123: Best Solution = [0.99196773 0.98546258], Best Fitness = 0.0002784365716709637, Evaluations = 1984
Generation 124: Best Solution = [0.99196773 0.98546258], Best Fitness = 0.0002784365716709637, Evaluations = 2000
