Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 113: Best Solution = [ 2.18600367e-10 -2.76092670e-10], Best Fitness = 9.960463565050759e-10, Evaluations = 912
Generation 114: Best Solution = [ 2.18600367e-10 -2.76092670e-10], Best Fitness = 4.188618341061101e-10, Evaluations = 920
Generation 115: Best Solution = [ 2.18600367e-10 -2.76092670e-10], Best Fitness = 4.188618341061101e-10, Evaluations = 928
Generation 116: Best Solution = [1.23373847e-10 8.08729862e-11], Best Fitness = 4.172453493822559e-10, Evaluations = 936
Generation 117: Best Solution = [1.23373847e-10 8.08729862e-11], Best Fitness = 4.172453493822559e-10, Evaluations = 944
Generation 118: Best Solution = [8.01012563e-11 1.16553759e-10], Best Fitness = 4.0000758261271585e-10, Evaluations = 952
Generation 119: Best Solution = [-4.98626666e-12 -4.71507472e-11], Best Fitness = 1.3410828003657116e-10, Evaluations = 960
Generation 120: Best Solution = [-4.98626666e-12 -4.71507472e-11], Best Fitness = 1.3410828003657116e-10, Evaluations = 968
Generation 121: Best Solution = [-4.98626666e-12 -4.71507472e-11], Best Fitness = 6.56297238776915e-11, Evaluations = 976
Generation 122: Best Solution = [-4.98626666e-12 -4.71507472e-11], Best Fitness = 6.56297238776915e-11, Evaluations = 984
Generation 123: Best Solution = [-4.98626666e-12 -4.71507472e-11], Best Fitness = 6.56297238776915e-11, Evaluations = 992
Generation 124: Best Solution = [-4.98626666e-12 -4.71507472e-11], Best Fitness = 4.9621196041016447e-11, Evaluations = 1000
Generation 125: Best Solution = [-7.07597458e-12 -6.09509137e-12], Best Fitness = 2.6414870291091574e-11, Evaluations = 1008
Generation 126: Best Solution = [-7.07597458e-12 -6.09509137e-12], Best Fitness = 2.6414870291091574e-11, Evaluations = 1016
Generation 127: Best Solution = [7.16766226e-12 3.86235554e-12], Best Fitness = 2.3029134155194697e-11, Evaluations = 1024
Generation 128: Best Solution = [7.16766226e-12 3.86235554e-12], Best Fitness = 2.3029134155194697e-11, Evaluations = 1032
Generation 129: Best Solution = [-6.37370266e-12 -1.30830375e-12], Best Fitness = 1.8403500945396445e-11, Evaluations = 1040
Generation 130: Best Solution = [2.89457121e-12 5.39075318e-12], Best Fitness = 1.730571241864709e-11, Evaluations = 1048
Generation 131: Best Solution = [2.89457121e-12 5.39075318e-12], Best Fitness = 1.730571241864709e-11, Evaluations = 1056
Generation 132: Best Solution = [ 4.96920349e-12 -2.90444977e-12], Best Fitness = 1.6278978165473745e-11, Evaluations = 1064
Generation 133: Best Solution = [-3.8068087e-12 -3.5641408e-12], Best Fitness = 1.475131128358953e-11, Evaluations = 1072
Generation 134: Best Solution = [ 4.96920349e-12 -1.91001528e-13], Best Fitness = 1.4065637543581033e-11, Evaluations = 1080
Generation 135: Best Solution = [ 3.19156005e-12 -3.56414080e-12], Best Fitness = 1.3532730491760958e-11, Evaluations = 1088
Generation 136: Best Solution = [-1.90207141e-12 -1.30830375e-12], Best Fitness = 6.530331830845171e-12, Evaluations = 1096
Generation 137: Best Solution = [-6.70970818e-13  2.14597278e-12], Best Fitness = 6.359801574262747e-12, Evaluations = 1104
Generation 138: Best Solution = [-4.08556485e-13 -1.91001528e-13], Best Fitness = 1.2758682998992299e-12, Evaluations = 1112
Generation 139: Best Solution = [-4.08556485e-13 -1.91001528e-13], Best Fitness = 1.1586287484988134e-12, Evaluations = 1120
Generation 140: Best Solution = [-4.08556485e-13 -1.91001528e-13], Best Fitness = 1.1586287484988134e-12, Evaluations = 1128
Generation 141: Best Solution = [-4.08556485e-13 -1.91001528e-13], Best Fitness = 1.1586287484988134e-12, Evaluations = 1136
Generation 142: Best Solution = [-2.29745768e-13  3.01191819e-13], Best Fitness = 1.0733636202076013e-12, Evaluations = 1144
Generation 143: Best Solution = [-2.29745768e-13  3.01191819e-13], Best Fitness = 1.0733636202076013e-12, Evaluations = 1152
Generation 144: Best Solution = [-2.29745768e-13  3.01191819e-13], Best Fitness = 1.0733636202076013e-12, Evaluations = 1160
Generation 145: Best Solution = [-2.29745768e-13  3.01191819e-13], Best Fitness = 1.0733636202076013e-12, Evaluations = 1168
Generation 146: Best Solution = [2.02490168e-13 2.92600331e-14], Best Fitness = 5.795364188543317e-13, Evaluations = 1176
Generation 147: Best Solution = [ 1.95093274e-13 -1.59411146e-14], Best Fitness = 5.546674231027282e-13, Evaluations = 1184
Generation 148: Best Solution = [ 1.95093274e-13 -1.59411146e-14], Best Fitness = 5.546674231027282e-13, Evaluations = 1192
Generation 149: Best Solution = [ 1.95093274e-13 -1.59411146e-14], Best Fitness = 5.546674231027282e-13, Evaluations = 1200
Generation 150: Best Solution = [1.32582992e-13 5.46764594e-14], Best Fitness = 4.0545344859310717e-13, Evaluations = 1208
Generation 151: Best Solution = [1.32582992e-13 5.46764594e-14], Best Fitness = 4.0545344859310717e-13, Evaluations = 1216
Generation 152: Best Solution = [1.15321988e-13 4.48914564e-14], Best Fitness = 3.5216274341109965e-13, Evaluations = 1224
Generation 153: Best Solution = [1.15321988e-13 4.48914564e-14], Best Fitness = 1.709743457922741e-13, Evaluations = 1232
Generation 154: Best Solution = [1.15321988e-13 4.48914564e-14], Best Fitness = 1.709743457922741e-13, Evaluations = 1240
Generation 155: Best Solution = [1.15321988e-13 4.48914564e-14], Best Fitness = 1.709743457922741e-13, Evaluations = 1248
Generation 156: Best Solution = [1.15321988e-13 4.48914564e-14], Best Fitness = 1.709743457922741e-13, Evaluations = 1256
Generation 157: Best Solution = [1.15321988e-13 4.48914564e-14], Best Fitness = 1.709743457922741e-13, Evaluations = 1264
Generation 158: Best Solution = [2.25346405e-14 1.29073573e-14], Best Fitness = 7.505107646466058e-14, Evaluations = 1272
Generation 159: Best Solution = [2.25346405e-14 1.29073573e-14], Best Fitness = 5.3734794391857577e-14, Evaluations = 1280
Generation 160: Best Solution = [2.25346405e-14 1.29073573e-14], Best Fitness = 5.3734794391857577e-14, Evaluations = 1288
Generation 161: Best Solution = [ 4.36768010e-15 -7.05637185e-15], Best Fitness = 2.531308496145357e-14, Evaluations = 1296
Generation 162: Best Solution = [ 4.36768010e-15 -7.05637185e-15], Best Fitness = 2.531308496145357e-14, Evaluations = 1304
Generation 163: Best Solution = [-4.33347403e-17  2.66896157e-15], Best Fitness = 7.549516567451064e-15, Evaluations = 1312
Generation 164: Best Solution = [-4.33347403e-17  2.66896157e-15], Best Fitness = 7.549516567451064e-15, Evaluations = 1320
Generation 165: Best Solution = [-4.33347403e-17  2.66896157e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1328
Generation 166: Best Solution = [-4.33347403e-17  2.66896157e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1336
Generation 167: Best Solution = [-4.33347403e-17  2.66896157e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1344
Generation 168: Best Solution = [-4.33347403e-17  2.66896157e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1352
Generation 169: Best Solution = [-4.33347403e-17  2.66896157e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1360
Generation 170: Best Solution = [-4.33347403e-17  2.66896157e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1368
Generation 171: Best Solution = [-4.33347403e-17  2.66896157e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1376
Generation 172: Best Solution = [-4.33347403e-17  2.66896157e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1384
Generation 173: Best Solution = [-4.33347403e-17  2.66896157e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1392
Generation 174: Best Solution = [ 2.87866590e-16 -7.10350192e-17], Best Fitness = 4.440892098500626e-16, Evaluations = 1400
Generation 175: Best Solution = [ 2.87866590e-16 -7.10350192e-17], Best Fitness = 4.440892098500626e-16, Evaluations = 1408
