Algorithm: Differential Evolution
Objective Function: Sphere
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 99: Best Solution = [-1.65609740e-11  2.52194191e-12], Best Fitness = 2.8062604939198164e-22, Evaluations = 800
Generation 100: Best Solution = [-1.65609740e-11  2.52194191e-12], Best Fitness = 2.8062604939198164e-22, Evaluations = 808
Generation 101: Best Solution = [-1.65609740e-11  2.52194191e-12], Best Fitness = 2.8062604939198164e-22, Evaluations = 816
Generation 102: Best Solution = [-1.35070082e-11 -8.19206348e-13], Best Fitness = 1.8311036866453501e-22, Evaluations = 824
Generation 103: Best Solution = [-1.35070082e-11 -8.19206348e-13], Best Fitness = 1.2604434941296297e-22, Evaluations = 832
Generation 104: Best Solution = [-1.35070082e-11 -8.19206348e-13], Best Fitness = 1.2604434941296297e-22, Evaluations = 840
Generation 105: Best Solution = [8.93294530e-12 3.52438749e-12], Best Fitness = 9.221881883367313e-23, Evaluations = 848
Generation 106: Best Solution = [8.93294530e-12 3.52438749e-12], Best Fitness = 9.221881883367313e-23, Evaluations = 856
Generation 107: Best Solution = [-1.08669132e-12  4.52831654e-12], Best Fitness = 2.168654872789449e-23, Evaluations = 864
Generation 108: Best Solution = [-1.08669132e-12  4.52831654e-12], Best Fitness = 2.168654872789449e-23, Evaluations = 872
Generation 109: Best Solution = [2.59850817e-13 3.60770849e-12], Best Fitness = 1.308308299101552e-23, Evaluations = 880
Generation 110: Best Solution = [2.59850817e-13 3.60770849e-12], Best Fitness = 1.308308299101552e-23, Evaluations = 888
Generation 111: Best Solution = [-2.04031327e-12 -8.19206348e-13], Best Fitness = 4.8339772687567754e-24, Evaluations = 896
Generation 112: Best Solution = [-2.04031327e-12 -8.19206348e-13], Best Fitness = 4.8339772687567754e-24, Evaluations = 904
Generation 113: Best Solution = [-2.04031327e-12 -8.19206348e-13], Best Fitness = 4.8339772687567754e-24, Evaluations = 912
Generation 114: Best Solution = [-2.04031327e-12 -8.19206348e-13], Best Fitness = 4.8339772687567754e-24, Evaluations = 920
