Algorithm: Differential Evolution
Objective Function: Rosenbrock
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 170: Best Solution = [0.98973514 0.97951808], Best Fitness = 0.00010569871909301487, Evaluations = 1368
Generation 171: Best Solution = [0.98973514 0.97951808], Best Fitness = 0.00010569871909301487, Evaluations = 1376
Generation 172: Best Solution = [0.98973514 0.97951808], Best Fitness = 0.00010569871909301487, Evaluations = 1384
Generation 173: Best Solution = [0.98974587 0.97956074], Best Fitness = 0.00010527786774808766, Evaluations = 1392
Generation 174: Best Solution = [0.98974587 0.97956074], Best Fitness = 0.00010527786774808766, Evaluations = 1400
Generation 175: Best Solution = [0.98974461 0.97960272], Best Fitness = 0.00010517989781556388, Evaluations = 1408
Generation 176: Best Solution = [0.98974461 0.97960272], Best Fitness = 0.00010517989781556388, Evaluations = 1416
Generation 177: Best Solution = [0.98974461 0.97960272], Best Fitness = 0.00010517989781556388, Evaluations = 1424
Generation 178: Best Solution = [0.98974461 0.97960272], Best Fitness = 0.00010517989781556388, Evaluations = 1432
Generation 179: Best Solution = [0.98974909 0.97959471], Best Fitness = 0.00010508841261972038, Evaluations = 1440
Generation 180: Best Solution = [0.98974909 0.97959471], Best Fitness = 0.00010508841261972038, Evaluations = 1448
Generation 181: Best Solution = [0.98974909 0.97959471], Best Fitness = 0.00010508841261972038, Evaluations = 1456
Generation 182: Best Solution = [0.98974909 0.97959471], Best Fitness = 0.00010508841261972038, Evaluations = 1464
Generation 183: Best Solution = [0.98974909 0.97959471], Best Fitness = 0.00010508841261972038, Evaluations = 1472
Generation 184: Best Solution = [0.98974909 0.97959471], Best Fitness = 0.0001050751365152137, Evaluations = 1480
Generation 185: Best Solution = [0.98975667 0.97958257], Best Fitness = 0.00010505325445118694, Evaluations = 1488
Generation 186: Best Solution = [0.98975667 0.97958257], Best Fitness = 0.00010502984054334905, Evaluations = 1496
Generation 187: Best Solution = [0.98975522 0.97962737], Best Fitness = 0.00010496973439198747, Evaluations = 1504
Generation 188: Best Solution = [0.9897556  0.97961746], Best Fitness = 0.00010494784195739632, Evaluations = 1512
Generation 189: Best Solution = [0.98975667 0.97963236], Best Fitness = 0.00010494578088541168, Evaluations = 1520
Generation 190: Best Solution = [0.98975661 0.97961027], Best Fitness = 0.00010493320840931827, Evaluations = 1528
Generation 191: Best Solution = [0.98975661 0.97961027], Best Fitness = 0.00010493320840931827, Evaluations = 1536
Generation 192: Best Solution = [0.98975661 0.97961027], Best Fitness = 0.00010493320840931827, Evaluations = 1544
Generation 193: Best Solution = [0.98975661 0.97961027], Best Fitness = 0.00010493320840931827, Evaluations = 1552
Generation 194: Best Solution = [0.98975753 0.97961179], Best Fitness = 0.00010491487648350104, Evaluations = 1560
Generation 195: Best Solution = [0.98975753 0.97961179], Best Fitness = 0.00010491487648350104, Evaluations = 1568
Generation 196: Best Solution = [0.98975753 0.97961179], Best Fitness = 0.00010490885196605182, Evaluations = 1576
