Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 136: Best Solution = [-3.53501428e-14 -4.20904871e-14], Best Fitness = 1.567634910770721e-13, Evaluations = 1096
Generation 137: Best Solution = [-1.08154986e-14 -4.20904871e-14], Best Fitness = 1.212363542890671e-13, Evaluations = 1104
Generation 138: Best Solution = [-1.08154986e-14 -4.20904871e-14], Best Fitness = 1.212363542890671e-13, Evaluations = 1112
Generation 139: Best Solution = [ 1.34658328e-14 -2.94691596e-14], Best Fitness = 9.281464485866309e-14, Evaluations = 1120
Generation 140: Best Solution = [ 1.34658328e-14 -2.94691596e-14], Best Fitness = 9.281464485866309e-14, Evaluations = 1128
Generation 141: Best Solution = [-6.45535845e-15 -2.33730585e-14], Best Fitness = 6.794564910705958e-14, Evaluations = 1136
Generation 142: Best Solution = [-6.45535845e-15 -2.33730585e-14], Best Fitness = 6.794564910705958e-14, Evaluations = 1144
Generation 143: Best Solution = [-4.94784746e-16 -7.25726408e-15], Best Fitness = 2.1760371282653068e-14, Evaluations = 1152
Generation 144: Best Solution = [-4.94784746e-16 -7.25726408e-15], Best Fitness = 2.1760371282653068e-14, Evaluations = 1160
Generation 145: Best Solution = [-4.94784746e-16 -7.25726408e-15], Best Fitness = 2.1760371282653068e-14, Evaluations = 1168
Generation 146: Best Solution = [-4.94784746e-16 -7.25726408e-15], Best Fitness = 2.1760371282653068e-14, Evaluations = 1176
Generation 147: Best Solution = [4.10672830e-15 3.07253516e-15], Best Fitness = 1.4654943925052066e-14, Evaluations = 1184
Generation 148: Best Solution = [4.10672830e-15 3.07253516e-15], Best Fitness = 1.4654943925052066e-14, Evaluations = 1192
Generation 149: Best Solution = [4.10672830e-15 3.07253516e-15], Best Fitness = 7.549516567451064e-15, Evaluations = 1200
Generation 150: Best Solution = [4.10672830e-15 3.07253516e-15], Best Fitness = 7.549516567451064e-15, Evaluations = 1208
Generation 151: Best Solution = [4.10672830e-15 3.07253516e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1216
Generation 152: Best Solution = [4.10672830e-15 3.07253516e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1224
Generation 153: Best Solution = [4.10672830e-15 3.07253516e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1232
Generation 154: Best Solution = [4.10672830e-15 3.07253516e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1240
Generation 155: Best Solution = [-3.08975321e-16  1.21678333e-17], Best Fitness = 4.440892098500626e-16, Evaluations = 1248
Generation 156: Best Solution = [-3.08975321e-16  1.21678333e-17], Best Fitness = 4.440892098500626e-16, Evaluations = 1256
Generation 157: Best Solution = [-3.08975321e-16  1.21678333e-17], Best Fitness = 4.440892098500626e-16, Evaluations = 1264
Generation 158: Best Solution = [-3.08975321e-16  1.21678333e-17], Best Fitness = 4.440892098500626e-16, Evaluations = 1272
Generation 159: Best Solution = [-3.08975321e-16  1.21678333e-17], Best Fitness = 4.440892098500626e-16, Evaluations = 1280
Generation 160: Best Solution = [-3.08975321e-16  1.21678333e-17], Best Fitness = 4.440892098500626e-16, Evaluations = 1288
Generation 161: Best Solution = [-3.08975321e-16  1.21678333e-17], Best Fitness = 4.440892098500626e-16, Evaluations = 1296
Generation 162: Best Solution = [-3.08975321e-16  1.21678333e-17], Best Fitness = 4.440892098500626e-16, Evaluations = 1304
Generation 163: Best Solution = [-3.08975321e-16  1.21678333e-17], Best Fitness = 4.440892098500626e-16, Evaluations = 1312
Generation 164: Best Solution = [-3.08975321e-16  1.21678333e-17], Best Fitness = 4.440892098500626e-16, Evaluations = 1320
Generation 165: Best Solution = [-3.08975321e-16  1.21678333e-17], Best Fitness = 4.440892098500626e-16, Evaluations = 1328
Generation 166: Best Solution = [-3.08975321e-16  1.21678333e-17], Best Fitness = 4.440892098500626e-16, Evaluations = 1336
Generation 167: Best Solution = [-3.08975321e-16  1.21678333e-17], Best Fitness = 4.440892098500626e-16, Evaluations = 1344
Generation 168: Best Solution = [-3.08975321e-16  1.21678333e-17], Best Fitness = 4.440892098500626e-16, Evaluations = 1352
Generation 169: Best Solution = [-3.08975321e-16  1.21678333e-17], Best Fitness = 4.440892098500626e-16, Evaluations = 1360
Generation 170: Best Solution = [-3.08975321e-16  1.21678333e-17], Best Fitness = 4.440892098500626e-16, Evaluations = 1368
Generation 171: Best Solution = [-3.08975321e-16  1.21678333e-17], Best Fitness = 4.440892098500626e-16, Evaluations = 1376
Generation 172: Best Solution = [-3.08975321e-16  1.21678333e-17], Best Fitness = 4.440892098500626e-16, Evaluations = 1384
Generation 173: Best Solution = [-3.08975321e-16  1.21678333e-17], Best Fitness = 4.440892098500626e-16, Evaluations = 1392
Generation 174: Best Solution = [-3.08975321e-16  1.21678333e-17], Best Fitness = 4.440892098500626e-16, Evaluations = 1400
Generation 175: Best Solution = [-3.08975321e-16  1.21678333e-17], Best Fitness = 4.440892098500626e-16, Evaluations = 1408
Generation 176: Best Solution = [-3.08975321e-16  1.21678333e-17], Best Fitness = 4.440892098500626e-16, Evaluations = 1416
Generation 177: Best Solution = [-3.08975321e-16  1.21678333e-17], Best Fitness = 4.440892098500626e-16, Evaluations = 1424
Generation 178: Best Solution = [-3.08975321e-16  1.21678333e-17], Best Fitness = 4.440892098500626e-16, Evaluations = 1432
Generation 179: Best Solution = [-3.08975321e-16  1.21678333e-17], Best Fitness = 4.440892098500626e-16, Evaluations = 1440
Generation 180: Best Solution = [-3.08975321e-16  1.21678333e-17], Best Fitness = 4.440892098500626e-16, Evaluations = 1448
Generation 181: Best Solution = [-3.08975321e-16  1.21678333e-17], Best Fitness = 4.440892098500626e-16, Evaluations = 1456
Generation 182: Best Solution = [-3.08975321e-16  1.21678333e-17], Best Fitness = 4.440892098500626e-16, Evaluations = 1464
Generation 183: Best Solution = [-3.08975321e-16  1.21678333e-17], Best Fitness = 4.440892098500626e-16, Evaluations = 1472
Generation 184: Best Solution = [-3.08975321e-16  1.21678333e-17], Best Fitness = 4.440892098500626e-16, Evaluations = 1480
Generation 185: Best Solution = [-3.08975321e-16  1.21678333e-17], Best Fitness = 4.440892098500626e-16, Evaluations = 1488
