Algorithm: Differential Evolution
Objective Function: Sphere
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 156: Best Solution = [2.73993483e-16 1.87004662e-17], Best Fitness = 1.9831021305958363e-32, Evaluations = 1256
Generation 157: Best Solution = [2.73993483e-16 1.87004662e-17], Best Fitness = 1.9831021305958363e-32, Evaluations = 1264
Generation 158: Best Solution = [-6.08566688e-17  1.87004662e-17], Best Fitness = 4.0532415796424945e-33, Evaluations = 1272
Generation 159: Best Solution = [-6.08566688e-17  1.87004662e-17], Best Fitness = 4.0532415796424945e-33, Evaluations = 1280
Generation 160: Best Solution = [1.26587377e-17 4.34769999e-18], Best Fitness = 1.791461365226899e-34, Evaluations = 1288
Generation 161: Best Solution = [1.26587377e-17 4.34769999e-18], Best Fitness = 1.791461365226899e-34, Evaluations = 1296
Generation 162: Best Solution = [1.26587377e-17 4.34769999e-18], Best Fitness = 1.791461365226899e-34, Evaluations = 1304
Generation 163: Best Solution = [1.26587377e-17 4.34769999e-18], Best Fitness = 1.791461365226899e-34, Evaluations = 1312
Generation 164: Best Solution = [1.26587377e-17 4.34769999e-18], Best Fitness = 1.791461365226899e-34, Evaluations = 1320
Generation 165: Best Solution = [1.26587377e-17 4.34769999e-18], Best Fitness = 1.791461365226899e-34, Evaluations = 1328
Generation 166: Best Solution = [1.26587377e-17 4.34769999e-18], Best Fitness = 1.791461365226899e-34, Evaluations = 1336
Generation 167: Best Solution = [1.26587377e-17 4.34769999e-18], Best Fitness = 1.2933014645499626e-34, Evaluations = 1344
Generation 168: Best Solution = [-4.61685448e-18 -2.13175343e-18], Best Fitness = 2.5859718020587045e-35, Evaluations = 1352
Generation 169: Best Solution = [-4.61685448e-18 -2.13175343e-18], Best Fitness = 2.5859718020587045e-35, Evaluations = 1360
Generation 170: Best Solution = [-4.61685448e-18 -2.13175343e-18], Best Fitness = 2.5859718020587045e-35, Evaluations = 1368
Generation 171: Best Solution = [-5.77644854e-20 -3.74677140e-18], Best Fitness = 1.404163269232901e-35, Evaluations = 1376
Generation 172: Best Solution = [-5.77644854e-20 -3.74677140e-18], Best Fitness = 1.404163269232901e-35, Evaluations = 1384
Generation 173: Best Solution = [-5.77644854e-20 -3.74677140e-18], Best Fitness = 1.404163269232901e-35, Evaluations = 1392
Generation 174: Best Solution = [-1.22660853e-20 -2.81716047e-18], Best Fitness = 7.936543574627555e-36, Evaluations = 1400
Generation 175: Best Solution = [-5.77644854e-20 -7.21373429e-19], Best Fitness = 5.237163595667811e-37, Evaluations = 1408
Generation 176: Best Solution = [-5.77644854e-20 -7.21373429e-19], Best Fitness = 5.237163595667811e-37, Evaluations = 1416
Generation 177: Best Solution = [-5.77644854e-20 -7.21373429e-19], Best Fitness = 5.237163595667811e-37, Evaluations = 1424
Generation 178: Best Solution = [ 2.75036315e-19 -6.60111735e-19], Best Fitness = 5.11392476557152e-37, Evaluations = 1432
Generation 179: Best Solution = [ 2.75036315e-19 -6.60111735e-19], Best Fitness = 5.11392476557152e-37, Evaluations = 1440
Generation 180: Best Solution = [ 2.75036315e-19 -6.60111735e-19], Best Fitness = 4.4447600015177645e-37, Evaluations = 1448
Generation 181: Best Solution = [ 2.75036315e-19 -6.60111735e-19], Best Fitness = 4.4447600015177645e-37, Evaluations = 1456
Generation 182: Best Solution = [ 9.34264311e-20 -2.88021228e-19], Best Fitness = 9.168472561070466e-38, Evaluations = 1464
Generation 183: Best Solution = [-8.21250426e-20 -2.51580644e-19], Best Fitness = 7.003734315856624e-38, Evaluations = 1472
Generation 184: Best Solution = [1.65863523e-20 1.59769842e-20], Best Fitness = 5.3037110670915285e-40, Evaluations = 1480
Generation 185: Best Solution = [1.65863523e-20 1.59769842e-20], Best Fitness = 5.3037110670915285e-40, Evaluations = 1488
Generation 186: Best Solution = [1.65863523e-20 1.59769842e-20], Best Fitness = 5.3037110670915285e-40, Evaluations = 1496
Generation 187: Best Solution = [1.65863523e-20 1.59769842e-20], Best Fitness = 5.3037110670915285e-40, Evaluations = 1504
Generation 188: Best Solution = [1.65863523e-20 1.59769842e-20], Best Fitness = 5.3037110670915285e-40, Evaluations = 1512
Generation 189: Best Solution = [1.65863523e-20 1.59769842e-20], Best Fitness = 5.3037110670915285e-40, Evaluations = 1520
Generation 190: Best Solution = [1.65863523e-20 1.59769842e-20], Best Fitness = 5.3037110670915285e-40, Evaluations = 1528
Generation 191: Best Solution = [1.08274472e-20 1.59769842e-20], Best Fitness = 3.724976372733995e-40, Evaluations = 1536
Generation 192: Best Solution = [1.08274472e-20 1.59769842e-20], Best Fitness = 3.724976372733995e-40, Evaluations = 1544
Generation 193: Best Solution = [ 1.32552981e-20 -9.16667767e-21], Best Fitness = 2.5973090735298985e-40, Evaluations = 1552
Generation 194: Best Solution = [8.77177008e-21 1.21989838e-20], Best Fitness = 2.2575915675474448e-40, Evaluations = 1560
Generation 195: Best Solution = [8.77177008e-21 1.21989838e-20], Best Fitness = 2.2575915675474448e-40, Evaluations = 1568
Generation 196: Best Solution = [-1.74543437e-21 -7.42125368e-21], Best Fitness = 5.812154729133826e-41, Evaluations = 1576
Generation 197: Best Solution = [-1.74543437e-21 -7.42125368e-21], Best Fitness = 5.812154729133826e-41, Evaluations = 1584
Generation 198: Best Solution = [-1.74543437e-21 -7.42125368e-21], Best Fitness = 5.812154729133826e-41, Evaluations = 1592
Generation 199: Best Solution = [ 2.98877338e-21 -5.61117872e-21], Best Fitness = 4.0418092945423954e-41, Evaluations = 1600
Generation 200: Best Solution = [ 3.44145319e-21 -2.86987763e-21], Best Fitness = 2.007979762867073e-41, Evaluations = 1608
Generation 201: Best Solution = [-7.83957359e-22  8.90787066e-22], Best Fitness = 1.408090738101197e-42, Evaluations = 1616
Generation 202: Best Solution = [-7.83957359e-22  8.90787066e-22], Best Fitness = 1.408090738101197e-42, Evaluations = 1624
Generation 203: Best Solution = [-7.83957359e-22  8.90787066e-22], Best Fitness = 1.408090738101197e-42, Evaluations = 1632
Generation 204: Best Solution = [ 1.77519652e-22 -1.62285919e-22], Best Fitness = 5.784994635728947e-44, Evaluations = 1640
Generation 205: Best Solution = [ 1.77519652e-22 -1.62285919e-22], Best Fitness = 2.655687858981851e-44, Evaluations = 1648
Generation 206: Best Solution = [ 1.77519652e-22 -1.62285919e-22], Best Fitness = 2.655687858981851e-44, Evaluations = 1656
Generation 207: Best Solution = [ 1.77519652e-22 -1.62285919e-22], Best Fitness = 2.655687858981851e-44, Evaluations = 1664
Generation 208: Best Solution = [ 1.77519652e-22 -1.62285919e-22], Best Fitness = 2.655687858981851e-44, Evaluations = 1672
Generation 209: Best Solution = [4.69137998e-23 1.54629957e-22], Best Fitness = 2.611132819885258e-44, Evaluations = 1680
Generation 210: Best Solution = [-1.04098031e-23 -6.85545789e-23], Best Fitness = 4.8080942884915153e-45, Evaluations = 1688
Generation 211: Best Solution = [-1.04098031e-23 -6.85545789e-23], Best Fitness = 4.8080942884915153e-45, Evaluations = 1696
Generation 212: Best Solution = [-1.04098031e-23 -6.85545789e-23], Best Fitness = 4.8080942884915153e-45, Evaluations = 1704
Generation 213: Best Solution = [-1.04098031e-23 -6.85545789e-23], Best Fitness = 4.8080942884915153e-45, Evaluations = 1712
Generation 214: Best Solution = [-1.04098031e-23 -6.85545789e-23], Best Fitness = 4.8080942884915153e-45, Evaluations = 1720
Generation 215: Best Solution = [-1.04098031e-23 -6.85545789e-23], Best Fitness = 4.8080942884915153e-45, Evaluations = 1728
Generation 216: Best Solution = [-1.04098031e-23 -6.85545789e-23], Best Fitness = 3.100499329154567e-45, Evaluations = 1736
Generation 217: Best Solution = [-1.04098031e-23 -6.85545789e-23], Best Fitness = 3.100499329154567e-45, Evaluations = 1744
Generation 218: Best Solution = [-1.04098031e-23 -6.85545789e-23], Best Fitness = 3.100499329154567e-45, Evaluations = 1752
Generation 219: Best Solution = [-2.13302873e-23  5.30058691e-24], Best Fitness = 4.830773799265354e-46, Evaluations = 1760
Generation 220: Best Solution = [-2.13302873e-23  5.30058691e-24], Best Fitness = 4.264141618519184e-46, Evaluations = 1768
Generation 221: Best Solution = [-2.13302873e-23  5.30058691e-24], Best Fitness = 4.264141618519184e-46, Evaluations = 1776
Generation 222: Best Solution = [1.88699911e-24 7.57161441e-25], Best Fitness = 4.134059091287546e-48, Evaluations = 1784
Generation 223: Best Solution = [1.88699911e-24 7.57161441e-25], Best Fitness = 4.134059091287546e-48, Evaluations = 1792
Generation 224: Best Solution = [1.88699911e-24 7.57161441e-25], Best Fitness = 4.134059091287546e-48, Evaluations = 1800
Generation 225: Best Solution = [1.88699911e-24 7.57161441e-25], Best Fitness = 4.134059091287546e-48, Evaluations = 1808
Generation 226: Best Solution = [1.88699911e-24 7.57161441e-25], Best Fitness = 4.134059091287546e-48, Evaluations = 1816
Generation 227: Best Solution = [1.88699911e-24 7.57161441e-25], Best Fitness = 4.134059091287546e-48, Evaluations = 1824
Generation 228: Best Solution = [1.88699911e-24 7.57161441e-25], Best Fitness = 4.134059091287546e-48, Evaluations = 1832
Generation 229: Best Solution = [1.88699911e-24 7.57161441e-25], Best Fitness = 4.134059091287546e-48, Evaluations = 1840
