Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 148: Best Solution = [-5.41490184e-15 -2.32575336e-15], Best Fitness = 1.8207657603852567e-14, Evaluations = 1192
Generation 149: Best Solution = [-5.41490184e-15 -2.32575336e-15], Best Fitness = 1.8207657603852567e-14, Evaluations = 1200
Generation 150: Best Solution = [-5.41490184e-15 -2.32575336e-15], Best Fitness = 1.8207657603852567e-14, Evaluations = 1208
Generation 151: Best Solution = [-5.41490184e-15 -2.32575336e-15], Best Fitness = 1.8207657603852567e-14, Evaluations = 1216
Generation 152: Best Solution = [-5.41490184e-15 -2.32575336e-15], Best Fitness = 1.8207657603852567e-14, Evaluations = 1224
Generation 153: Best Solution = [-5.41490184e-15 -2.32575336e-15], Best Fitness = 1.8207657603852567e-14, Evaluations = 1232
Generation 154: Best Solution = [-5.41490184e-15 -2.32575336e-15], Best Fitness = 1.8207657603852567e-14, Evaluations = 1240
Generation 155: Best Solution = [-5.41490184e-15 -2.32575336e-15], Best Fitness = 1.8207657603852567e-14, Evaluations = 1248
Generation 156: Best Solution = [-4.41025649e-15 -3.69688452e-15], Best Fitness = 1.4654943925052066e-14, Evaluations = 1256
Generation 157: Best Solution = [-4.41025649e-15 -3.69688452e-15], Best Fitness = 1.4654943925052066e-14, Evaluations = 1264
Generation 158: Best Solution = [-4.41025649e-15 -3.69688452e-15], Best Fitness = 1.4654943925052066e-14, Evaluations = 1272
Generation 159: Best Solution = [-4.41025649e-15 -3.69688452e-15], Best Fitness = 1.4654943925052066e-14, Evaluations = 1280
Generation 160: Best Solution = [-4.41025649e-15 -3.69688452e-15], Best Fitness = 1.1102230246251565e-14, Evaluations = 1288
Generation 161: Best Solution = [ 1.47162089e-15 -2.33973889e-15], Best Fitness = 7.549516567451064e-15, Evaluations = 1296
Generation 162: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1304
Generation 163: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1312
Generation 164: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1320
Generation 165: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1328
Generation 166: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1336
Generation 167: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1344
Generation 168: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1352
Generation 169: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1360
Generation 170: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1368
Generation 171: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1376
Generation 172: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1384
Generation 173: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1392
Generation 174: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1400
Generation 175: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1408
Generation 176: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1416
Generation 177: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1424
Generation 178: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1432
Generation 179: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1440
Generation 180: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1448
Generation 181: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1456
Generation 182: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1464
Generation 183: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1472
Generation 184: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1480
Generation 185: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1488
Generation 186: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1496
Generation 187: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1504
Generation 188: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1512
Generation 189: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1520
Generation 190: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1528
Generation 191: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1536
Generation 192: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1544
Generation 193: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1552
Generation 194: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1560
Generation 195: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1568
Generation 196: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1576
Generation 197: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1584
Generation 198: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1592
Generation 199: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1600
Generation 200: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1608
Generation 201: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1616
Generation 202: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1624
Generation 203: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1632
Generation 204: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1640
Generation 205: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1648
