Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 116: Best Solution = [3.1400215  4.43843681], Best Fitness = 0.007396040349497479, Evaluations = 936
Generation 117: Best Solution = [3.1400215  4.43843681], Best Fitness = 0.007396040349497479, Evaluations = 944
Generation 118: Best Solution = [3.1400215  4.43843681], Best Fitness = 0.007396040340759025, Evaluations = 952
Generation 119: Best Solution = [3.1400215  4.43843681], Best Fitness = 0.007396040339803012, Evaluations = 960
Generation 120: Best Solution = [3.1400215  4.43843681], Best Fitness = 0.007396040336325904, Evaluations = 968
Generation 121: Best Solution = [3.1400215  4.43843681], Best Fitness = 0.007396040335014953, Evaluations = 976
Generation 122: Best Solution = [3.1400215  4.43844457], Best Fitness = 0.007396040334757159, Evaluations = 984
Generation 123: Best Solution = [3.1400215  4.43844457], Best Fitness = 0.007396040334757159, Evaluations = 992
Generation 124: Best Solution = [3.1400215  4.43844457], Best Fitness = 0.007396040334757159, Evaluations = 1000
Generation 125: Best Solution = [3.1400215  4.43844457], Best Fitness = 0.007396040334757159, Evaluations = 1008
Generation 126: Best Solution = [3.1400215  4.43844457], Best Fitness = 0.007396040334757159, Evaluations = 1016
Generation 127: Best Solution = [3.1400215  4.43844457], Best Fitness = 0.007396040334424758, Evaluations = 1024
Generation 128: Best Solution = [3.14002273 4.43844432], Best Fitness = 0.007396040334126552, Evaluations = 1032
Generation 129: Best Solution = [3.14002269 4.43844454], Best Fitness = 0.007396040334117893, Evaluations = 1040
Generation 130: Best Solution = [3.14002269 4.43844454], Best Fitness = 0.007396040334117893, Evaluations = 1048
Generation 131: Best Solution = [3.14002269 4.43844454], Best Fitness = 0.007396040334117893, Evaluations = 1056
Generation 132: Best Solution = [3.14002269 4.43844454], Best Fitness = 0.007396040334117893, Evaluations = 1064
Generation 133: Best Solution = [3.14002269 4.43844454], Best Fitness = 0.007396040334117893, Evaluations = 1072
Generation 134: Best Solution = [3.14002269 4.43844454], Best Fitness = 0.007396040334117893, Evaluations = 1080
Generation 135: Best Solution = [3.14002269 4.43844454], Best Fitness = 0.007396040334117893, Evaluations = 1088
Generation 136: Best Solution = [3.14002269 4.43844454], Best Fitness = 0.007396040334117893, Evaluations = 1096
Generation 137: Best Solution = [3.14002269 4.43844454], Best Fitness = 0.0073960403341174485, Evaluations = 1104
Generation 138: Best Solution = [3.14002269 4.43844454], Best Fitness = 0.0073960403341174485, Evaluations = 1112
Generation 139: Best Solution = [3.14002267 4.43844455], Best Fitness = 0.007396040334116893, Evaluations = 1120
Generation 140: Best Solution = [3.14002267 4.43844447], Best Fitness = 0.007396040334115783, Evaluations = 1128
Generation 141: Best Solution = [3.14002262 4.43844447], Best Fitness = 0.007396040334115339, Evaluations = 1136
Generation 142: Best Solution = [3.14002262 4.43844447], Best Fitness = 0.007396040334115339, Evaluations = 1144
Generation 143: Best Solution = [3.14002263 4.43844448], Best Fitness = 0.007396040334115006, Evaluations = 1152
Generation 144: Best Solution = [3.14002263 4.43844448], Best Fitness = 0.007396040334115006, Evaluations = 1160
Generation 145: Best Solution = [3.14002263 4.43844448], Best Fitness = 0.007396040334115006, Evaluations = 1168
Generation 146: Best Solution = [3.14002263 4.43844448], Best Fitness = 0.007396040334115006, Evaluations = 1176
Generation 147: Best Solution = [3.14002263 4.43844448], Best Fitness = 0.007396040334115006, Evaluations = 1184
Generation 148: Best Solution = [3.14002263 4.43844448], Best Fitness = 0.007396040334115006, Evaluations = 1192
Generation 149: Best Solution = [3.14002263 4.43844448], Best Fitness = 0.007396040334115006, Evaluations = 1200
Generation 150: Best Solution = [3.14002263 4.43844448], Best Fitness = 0.007396040334115006, Evaluations = 1208
Generation 151: Best Solution = [3.14002263 4.43844448], Best Fitness = 0.007396040334115006, Evaluations = 1216
Generation 152: Best Solution = [3.14002263 4.43844448], Best Fitness = 0.007396040334115006, Evaluations = 1224
Generation 153: Best Solution = [3.14002263 4.43844448], Best Fitness = 0.007396040334115006, Evaluations = 1232
Generation 154: Best Solution = [3.14002263 4.43844448], Best Fitness = 0.007396040334115006, Evaluations = 1240
Generation 155: Best Solution = [3.14002263 4.43844448], Best Fitness = 0.007396040334115006, Evaluations = 1248
