Algorithm: Cross-Entropy Method
Objective Function: Rastrigin
Dimension: 10
Population Size: 8
Max Evaluations: 10000

Generation 60: Best Solution = [-0.09188879 -0.97053457  2.02703273 -0.97442689 -1.58213167 -4.08363905
  3.49356997 -4.012704    2.9394877  -1.96660565], Best Fitness = 109.07171677946762, Evaluations = 480
Generation 61: Best Solution = [-0.09438683 -0.97046951  2.02849014 -0.97453373 -1.58517497 -4.08104981
  3.49309918 -4.016986    2.9446122  -1.9637287 ], Best Fitness = 108.99088563116156, Evaluations = 488
Generation 62: Best Solution = [-0.09240429 -0.97254791  2.02671694 -0.97761439 -1.59246964 -4.08510336
  3.49230284 -4.01667587  2.94716939 -1.96892183], Best Fitness = 108.69448862380274, Evaluations = 496
Generation 63: Best Solution = [-0.08672435 -0.9715186   2.0251583  -0.97230249 -1.59223679 -4.08543694
  3.49249653 -4.01334477  2.94494495 -1.97013959], Best Fitness = 108.5318975786993, Evaluations = 504
Generation 64: Best Solution = [-0.08868266 -0.9751792   2.03562412 -0.96661084 -1.58965764 -4.07706008
  3.49264138 -4.01660634  2.9419889  -1.97725256], Best Fitness = 108.59245854988828, Evaluations = 512
Generation 65: Best Solution = [-0.08790582 -0.97881638  2.02672567 -0.97247386 -1.58742882 -4.08144994
  3.48495282 -4.00950475  2.94541038 -1.97627268], Best Fitness = 108.34116324319324, Evaluations = 520
Generation 66: Best Solution = [-0.08643217 -0.97825729  2.02614538 -0.97058406 -1.59672035 -4.08797387
  3.48466599 -4.00892186  2.95385785 -1.96857403], Best Fitness = 108.20429922027236, Evaluations = 528
Generation 67: Best Solution = [-0.07692885 -0.97940256  2.02696881 -0.96859151 -1.59997888 -4.08900697
  3.48601302 -4.00629957  2.95182156 -1.95852587], Best Fitness = 107.9861329635974, Evaluations = 536
Generation 68: Best Solution = [-0.07422724 -0.97540543  2.02918979 -0.97440735 -1.59800344 -4.08957011
  3.48427038 -4.00623632  2.95200614 -1.9657436 ], Best Fitness = 107.90105910261109, Evaluations = 544
Generation 69: Best Solution = [-0.07793088 -0.97395248  2.02218736 -0.96732246 -1.60799926 -4.08220622
  3.49190335 -4.00608864  2.94983494 -1.95719509], Best Fitness = 107.5554089385295, Evaluations = 552
Generation 70: Best Solution = [-0.07533849 -0.97499518  2.02553618 -0.96727652 -1.61062906 -4.08268533
  3.4940493  -4.0109421   2.9533981  -1.96120883], Best Fitness = 107.42110397005494, Evaluations = 560
Generation 71: Best Solution = [-0.07357187 -0.97536011  2.02078489 -0.96670272 -1.61727159 -4.07224717
  3.49802915 -4.01377792  2.95246966 -1.95677028], Best Fitness = 106.80325101715785, Evaluations = 568
Generation 72: Best Solution = [-0.06980815 -0.97429212  2.01737785 -0.97258368 -1.61809475 -4.07487521
  3.48924786 -4.01039488  2.95535523 -1.9548845 ], Best Fitness = 106.53678358106572, Evaluations = 576
Generation 73: Best Solution = [-0.07091456 -0.98382057  2.01516486 -0.96776422 -1.62449856 -4.07775294
  3.48507004 -4.01350157  2.95474657 -1.95767774], Best Fitness = 106.34024313390123, Evaluations = 584
Generation 74: Best Solution = [-0.0655455  -0.98538778  2.00881736 -0.96972712 -1.61874769 -4.07645345
