Algorithm: Differential Evolution
Objective Function: Rastrigin
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 79: Best Solution = [4.60482278e-08 1.72795123e-07], Best Fitness = 1.0658141036401503e-13, Evaluations = 640
Generation 80: Best Solution = [4.60482278e-08 1.72795123e-07], Best Fitness = 1.0658141036401503e-13, Evaluations = 648
Generation 81: Best Solution = [4.60482278e-08 1.72795123e-07], Best Fitness = 1.0658141036401503e-13, Evaluations = 656
Generation 82: Best Solution = [4.60482278e-08 1.72795123e-07], Best Fitness = 1.0658141036401503e-14, Evaluations = 664
Generation 83: Best Solution = [4.60482278e-08 1.72795123e-07], Best Fitness = 1.0658141036401503e-14, Evaluations = 672
Generation 84: Best Solution = [4.60482278e-08 1.72795123e-07], Best Fitness = 1.0658141036401503e-14, Evaluations = 680
Generation 85: Best Solution = [4.60482278e-08 1.72795123e-07], Best Fitness = 1.0658141036401503e-14, Evaluations = 688
Generation 86: Best Solution = [4.60482278e-08 1.72795123e-07], Best Fitness = 1.0658141036401503e-14, Evaluations = 696
Generation 87: Best Solution = [-4.64716056e-10  4.44736072e-09], Best Fitness = 3.552713678800501e-15, Evaluations = 704
Generation 88: Best Solution = [-4.64716056e-10  4.44736072e-09], Best Fitness = 3.552713678800501e-15, Evaluations = 712
Generation 89: Best Solution = [-4.64716056e-10  4.44736072e-09], Best Fitness = 3.552713678800501e-15, Evaluations = 720
Generation 90: Best Solution = [-4.64716056e-10  4.44736072e-09], Best Fitness = 3.552713678800501e-15, Evaluations = 728
Generation 91: Best Solution = [-4.64716056e-10  4.44736072e-09], Best Fitness = 3.552713678800501e-15, Evaluations = 736
Generation 92: Best Solution = [-4.64716056e-10  4.44736072e-09], Best Fitness = 3.552713678800501e-15, Evaluations = 744
Generation 93: Best Solution = [-4.64716056e-10  4.44736072e-09], Best Fitness = 3.552713678800501e-15, Evaluations = 752
Generation 94: Best Solution = [-4.64716056e-10  4.44736072e-09], Best Fitness = 3.552713678800501e-15, Evaluations = 760
Generation 95: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 768
Generation 96: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 776
Generation 97: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 784
Generation 98: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 792
Generation 99: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 800
