Algorithm: Differential Evolution
Objective Function: Rastrigin
Dimension: 10
Population Size: 32
Max Evaluations: 10000

Generation 86: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 2784
Generation 87: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 2816
Generation 88: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 2848
Generation 89: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 2880
Generation 90: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 2912
Generation 91: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 2944
Generation 92: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 2976
Generation 93: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 3008
Generation 94: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 3040
Generation 95: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 3072
Generation 96: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 3104
Generation 97: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 3136
Generation 98: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 3168
Generation 99: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 3200
Generation 100: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 3232
Generation 101: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 3264
Generation 102: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 3296
Generation 103: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 3328
Generation 104: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 3360
Generation 105: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 3392
Generation 106: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 3424
Generation 107: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 3456
Generation 108: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 3488
Generation 109: Best Solution = [-0.19366043  3.03268407  1.03912228  0.06679     0.10537116 -2.09154381
  0.91750024 -0.94226551  0.10444359 -0.91979825], Best Fitness = 34.20958525315578, Evaluations = 3520
Generation 110: Best Solution = [-0.19366043  3.03268407  1.03912228  0.06679     0.10537116 -2.09154381
  0.91750024 -0.94226551  0.10444359 -0.91979825], Best Fitness = 34.20958525315578, Evaluations = 3552
Generation 111: Best Solution = [-0.19366043  3.03268407  1.03912228  0.06679     0.10537116 -2.09154381
  0.91750024 -0.94226551  0.10444359 -0.91979825], Best Fitness = 34.20958525315578, Evaluations = 3584
Generation 112: Best Solution = [-0.19366043  3.03268407  1.03912228  0.06679     0.10537116 -2.09154381
  0.91750024 -0.94226551  0.10444359 -0.91979825], Best Fitness = 34.20958525315578, Evaluations = 3616
Generation 113: Best Solution = [-0.19366043  3.03268407  1.03912228  0.06679     0.10537116 -2.09154381
  0.91750024 -0.94226551  0.10444359 -0.91979825], Best Fitness = 34.20958525315578, Evaluations = 3648
Generation 114: Best Solution = [-0.19366043  3.03268407  1.03912228  0.06679     0.10537116 -2.09154381
  0.91750024 -0.94226551  0.10444359 -0.91979825], Best Fitness = 34.20958525315578, Evaluations = 3680
Generation 115: Best Solution = [-0.19366043  3.03268407  1.03912228  0.06679     0.10537116 -2.09154381
  0.91750024 -0.94226551  0.10444359 -0.91979825], Best Fitness = 34.20958525315578, Evaluations = 3712
Generation 116: Best Solution = [ 1.16668145  1.06752282 -0.88404247  1.07380498 -1.9209246  -2.03959535
 -0.07639528  0.88427811  0.01713928  1.12492938], Best Fitness = 31.980788859167575, Evaluations = 3744
Generation 117: Best Solution = [ 1.16668145  1.06752282 -0.88404247  1.07380498 -1.9209246  -2.03959535
 -0.07639528  0.88427811  0.01713928  1.12492938], Best Fitness = 31.980788859167575, Evaluations = 3776
Generation 118: Best Solution = [ 1.16668145  1.06752282 -0.88404247  1.07380498 -1.9209246  -2.03959535
 -0.07639528  0.88427811  0.01713928  1.12492938], Best Fitness = 31.980788859167575, Evaluations = 3808
Generation 119: Best Solution = [ 1.16668145  1.06752282 -0.88404247  1.07380498 -1.9209246  -2.03959535
 -0.07639528  0.88427811  0.01713928  1.12492938], Best Fitness = 31.980788859167575, Evaluations = 3840
Generation 120: Best Solution = [ 1.16668145  1.06752282 -0.88404247  1.07380498 -1.9209246  -2.03959535
 -0.07639528  0.88427811  0.01713928  1.12492938], Best Fitness = 31.980788859167575, Evaluations = 3872
Generation 121: Best Solution = [ 1.16668145  1.06752282 -0.88404247  1.07380498 -1.9209246  -2.03959535
 -0.07639528  0.88427811  0.01713928  1.12492938], Best Fitness = 31.980788859167575, Evaluations = 3904
Generation 122: Best Solution = [ 1.16668145  1.06752282 -0.88404247  1.07380498 -1.9209246  -2.03959535
 -0.07639528  0.88427811  0.01713928  1.12492938], Best Fitness = 31.980788859167575, Evaluations = 3936
Generation 123: Best Solution = [ 1.16668145  1.06752282 -0.88404247  1.07380498 -1.9209246  -2.03959535
 -0.07639528  0.88427811  0.01713928  1.12492938], Best Fitness = 31.980788859167575, Evaluations = 3968
Generation 124: Best Solution = [ 1.16668145  1.06752282 -0.88404247  1.07380498 -1.9209246  -2.03959535
 -0.07639528  0.88427811  0.01713928  1.12492938], Best Fitness = 31.980788859167575, Evaluations = 4000
Generation 125: Best Solution = [ 1.16668145  1.06752282 -0.88404247  1.07380498 -1.9209246  -2.03959535
 -0.07639528  0.88427811  0.01713928  1.12492938], Best Fitness = 31.980788859167575, Evaluations = 4032
Generation 126: Best Solution = [ 1.16668145  1.06752282 -0.88404247  1.07380498 -1.9209246  -2.03959535
 -0.07639528  0.88427811  0.01713928  1.12492938], Best Fitness = 31.980788859167575, Evaluations = 4064
Generation 127: Best Solution = [ 1.16668145  1.06752282 -0.88404247  1.07380498 -1.9209246  -2.03959535
 -0.07639528  0.88427811  0.01713928  1.12492938], Best Fitness = 31.980788859167575, Evaluations = 4096
Generation 128: Best Solution = [ 1.16668145  1.06752282 -0.88404247  1.07380498 -1.9209246  -2.03959535
 -0.07639528  0.88427811  0.01713928  1.12492938], Best Fitness = 31.980788859167575, Evaluations = 4128
